pessoa;checado;selo;paragrafo;comentario
MEDIADORES;não;NA;Olá, boa noite a todos.;NA
MEDIADORES;não;NA;Boa noite. A partir de agora você acompanha um encontro histórico nos estúdios da Band em São Paulo, numa parceria do Grupo Bandeirantes com a TV Cultura, o jornal Folha de S.Paulo e o UOL . Começa nesse instante o primeiro debate de 2022 entre candidatos à Presidência da República. Faltando 35 para o primeiro turno, o eleitor tem a oportunidade inédita de ver lado a lado, ouvir e comparar os concorrentes ao Palácio do Planalto.;NA
MEDIADORES;não;NA;O debate também é transmitido ao vivo pelas rádios Bandeirantes, Band News FM, pelo Band News TV, além da Band Internacional e também as plataformas digitais. Em nome de todos os integrantes do pool, nós agradecemos a presença aqui no estúdio dos candidatos. Felipe D'Ávila do Novo, Luiz Inácio Lula da Silva do PT, Simone Tebet do MDB, Jair Bolsonaro do PL, Soraya Thronicke do União Brasil e Ciro Gomes do PDT.;NA
MEDIADORES;não;NA;Eu lembro que em caso de ofensa pessoal ou moral o candidato pode pedir direito de resposta assim que terminar o tempo de quem estiver com a palavra. Basta fazer um sinal para os mediadores. E uma comissão presente na Band formada por um advogado e dois jornalistas vai avaliar a solicitação no mesmo bloco. Caso concedido, o tempo será de quarenta e cinco segundos.;NA
MEDIADORES;não;NA;Como acertado previamente com as campanhas, não temos público aqui neste estúdio, mas pra receber convidados e jornalistas, a Band montou uma sala digital com dados exclusivos em parceria com o Google e YouTube. E você pode acessar as mesmas informações apontando o celular pra esse código que aparece na tela. Será possível acompanhar em tempo real gráficos com a repercussão e temas mais buscados. O debate é transmitido também no Band Play, Band.com.br, canal Band Jornalismo do YouTube. Vamos acompanhar agora então como será a dinâmica desse debate com as regras que foram aprovadas em reunião com todos os partidos.;NA
MEDIADORES;não;NA;No primeiro bloco cada candidato por ordem de sorteio tem um minuto e meio pra responder a uma pergunta sobre planos de governo. Serão três perguntas diferentes. Cada uma direcionada a dois dos candidatos. Na sequência também em ordem deferida por sorteio a primeira rodada de confronto direto todos perguntam e todos respondem. O candidato escolhe quem vai responder e tem um minuto para a pergunta e um minuto para a réplica. O tempo de resposta e de tréplica será de quatro minutos no total a ser administrado pelo próprio candidato.;NA
MEDIADORES;não;NA;No segundo bloco, jornalistas das empresas integrantes do fazem perguntas para os candidatos, escolhendo quem vai responder e quem vai comentar. O tempo é de quatro minutos para a resposta e a réplica a ser administrado pelo candidato. O comentário tem um minuto, todos respondem e todos comentam.;NA
MEDIADORES;não;NA;O terceiro bloco será mediado pelos jornalistas Leão Serva da TV Cultura e Fabíola Cidral do Uol e começa com mais uma rodada de confronto direto entre os candidatos seguindo as mesmas regras do primeiro bloco. Na sequência, os candidatos respondem perguntas programáticas, serão três perguntas diferentes, cada uma direcionada a dois dos candidatos. Depois disso, os candidatos terão dois minutos cada para as suas considerações finais.;NA
MEDIADORES;não;NA;Vamos então à primeira pergunta que será dirigida aos candidatos Felipe D'Ávila e Soraya Thronicke, nessa ordem. E quem vai fazer a primeira pergunta é a jornalista especializada em economia Juliana Rosa, do grupo Bandeirantes. Boa noite, Juliana.;NA
JORNALISTA;não;NA;"Boa noite, Adriana, boa noite, candidatos, boa noite a todos. Prazer tá aqui com vocês nessa noite tão importante.
Pesquisas mostram que as maiores preocupações da população são inflação e emprego. Diante das dificuldades tem se falado muito da necessidade de estender os auxílios aos mais vulneráveis e algumas categorias, manter zerados os impostos sobre combustíveis e também aumentar salários de servidores, mas tantos gastos não cabem nas regras fiscais e a gente sabe que sem responsabilidade com as contas públicas a nossa moeda perde o valor.  Isso gera mais inflação e baixo crescimento. Gostaria de saber como equilibrar as enormes demandas sociais e ao mesmo tempo garantir a responsabilidade com as contas do país. Muito obrigada.";NA
FELIPE D'ÁVILA;não;NA;Boa noite, Juliana. Em nome da TV Bandeirantes, quero agradecer a esse debate muito importante. Boa noite aos candidatos e candidatas e boa noite a você que nos assiste. Realmente esse é o maior problema.;NA
FELIPE D'ÁVILA;sim;falso;A economia brasileira está estagnada há mais de 20 anos.;Não é verdade que a economia brasileira está há mais de 20 anos estagnada, como afirma o candidato. Segundo o Instituto Brasileiro de Economia da FGV (Fundação Getúlio Vargas), a economia brasileira cresceu 51% no período de 2001 a 2019, e o PIB per capita cresceu 24%. Dados do IBGE (Instituto Brasileiro de Geografia e Estatística) mostram que, entre 1991 e 2021, o PIB (Produto Interno Bruto), principal indicador de crescimento da economia, registrou percentuais negativos em cinco anos: 1992, 2009, 2015, 2016 e 2020. Se for considerado apenas o governo do presidente Jair Bolsonaro (PL), o PIB cresceu 1,2% em 2019, sofreu queda de 4,1% em 2020 e voltou a crescer em 2021, em 4,6%. O pior período do ponto de vista de crescimento econômico no Brasil ocorreu em 1981 e 1990, quando o país sofreu os efeitos da crise da dívida externa e da alta inflação.
FELIPE D'ÁVILA;não;NA;"O Brasil não cresce, não aumenta a geração de emprego e renda. E nós temos de conciliar sim com o gasto público, mas pra fazer isso é preciso cortar desperdício da máquina pública. Tem muito dinheiro sendo desperdiçado. Mas eu gostaria de me apresentar. Eu sou o Felipe, um cidadão como você, que vive do trabalho de empreender, é dono do negócio, não vive da política, não vive de governo. E nós estamos cansados desse estado caro e ineficiente que atrapalha a vida de todo mundo que trabalha, que rala todo dia de manhã pra conseguir o seu dinheiro. Nós somos o país entre os quinze mais que cobram imposto. Pra quê? Pra dar um serviço público de péssima qualidade. Está na hora de ter gestão pública. E pra isso é preciso deixar de votar no menos pior. Precisamos votar em alguém que entenda de gestão pública. Assim como é o caso do governador Zema em Minas Gerais, como o caso do prefeito Adriano Silva em Joinville. Gente que entende de gestão, sabe como cortar gasto público, equilibrar as contas públicas, atrair investimento e fazer a economia crescer. É assim que nós vamos mudar o Brasil. 
Muito prazer, eu sou Felipe d'Ávila, candidato do Partido Novo.";NA
MEDIADORES;não;NA;Obrigada, candidato. Agora, a candidata Soraya Thronicke responde a mesma pergunta. Por favor, candidata, boa noite.;NA
SORAYA THRONICKE;não;NA;Boa noite a todos, boa noite Juliana, obrigada pela pergunta, mas antes eu gostaria de me apresentar. Quero primeiro cumprimentar os candidatos que vieram. O comparecimento de todos é de extrema importância, é uma obrigação e direito do eleitor conhecer todas as propostas. Não comparecer é um ato de covardia.;NA
SORAYA THRONICKE;não;NA;Eu sou Soraya Thronicke, sou senadora pelo Mato Grosso do Sul e como outro candidato acabou de dizer, eu não sou do mundo político, eu não dependo do mundo político,  eu sou política porque eu tenho uma proposta. Como você que está aí sentado no sofá eu também estive. Estive nesses últimos vinte anos assistindo a debates como esses. E aí a minha esperança se renovava a cada quatro anos e depois só vinha decepção. Eu acho realmente que é muito chato ficar escutando aqui juridiquês e economês. Eu não vim pra brigar com ninguém, não vim pra duelar, eu vim pra falar com você na língua que todos os brasileiros entendem. Nós temos uma solução pro nosso país. É o imposto único federal. Nós trocaremos onze impostos federais por um imposto só e no decorrer da minha campanha, no decorrer desse debate você vai conhecer mais sobre essa proposta inovadora e na verdade revolucionária.;NA
MEDIADORES;não;NA;Agora a minha pergunta que será respondida pelos candidatos Simone Tebet e Jair Bolsonaro. Poder Executivo, Legislativo, Judiciário. Na Constituição, eles deveriam funcionar de forma harmoniosa, independente. Na vida real, na prática, conflitos e intromissão um no outro. Se a senhora for eleita, se o senhor for reeleito o que pretende fazer pra reduzir esse clima de tensão que não contribui com a ordem e o progresso do Brasil?;NA
SIMONE TEBET;não;NA;Boa noite a todos, permitam-me antes de mais nada agradecer à imprensa em nome da Band pelo debate que só fortalece a democracia, cumprimentar os candidatos e a candidata e a todos que estão nos acompanhando.;NA
